rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId,updated_at
14,247. 당산역 10번출구 앞,6,43,37.53342056,126.90223694,ST-295,2025-09-04T10:00:00.000+09:00
10,248. 초원아파트 앞,0,0,37.53105545,126.92420959,ST-296,2025-09-04T10:00:00.000+09:00
16,249. 여의도중학교 옆,0,0,37.52457809,126.93580627,ST-297,2025-09-04T10:00:00.000+09:00
10,250. 대림아파트 사거리,9,90,37.50764084,126.92308044,ST-298,2025-09-04T10:00:00.000+09:00
10,251. 서울지방병무청 버스정류장,8,80,37.50449371,126.92195129,ST-299,2025-09-04T10:00:00.000+09:00
10,252. 보라매역4번출구,26,260,37.49982834,126.91994476,ST-300,2025-09-04T10:00:00.000+09:00
10,254. 도림신협 앞,47,470,37.50380325,126.90341949,ST-302,2025-09-04T10:00:00.000+09:00
15,255. 도림사거리,19,127,37.50657272,126.90113068,ST-303,2025-09-04T10:00:00.000+09:00
10,256. 동아에코빌입구,11,110,37.50947571,126.89929962,ST-304,2025-09-04T10:00:00.000+09:00
14,258. 신길역3번출구,15,107,37.51769257,126.91429901,ST-306,2025-09-04T10:00:00.000+09:00
17,259. 대방역6번출구,65,382,37.51359177,126.92593384,ST-307,2025-09-04T10:00:00.000+09:00
15,260. 여의도 마리나선착장 앞,8,53,37.53365707,126.91216278,ST-414,2025-09-04T10:00:00.000+09:00
12,263. 근로자회관 사거리,28,233,37.51715088,126.88862610,ST-417,2025-09-04T10:00:00.000+09:00
15,264. 교보생명보험 앞,26,173,37.52193069,126.89161682,ST-418,2025-09-04T10:00:00.000+09:00
11,265. 영등포유통상가 사거리,4,36,37.52113342,126.89653778,ST-419,2025-09-04T10:00:00.000+09:00
10,266. 영등포청과시장 사거리,14,140,37.52029419,126.90119171,ST-420,2025-09-04T10:00:00.000+09:00
15,267. 삼성화재 사옥 옆,0,0,37.53596115,126.89830017,ST-421,2025-09-04T10:00:00.000+09:00
6,268. 그랜드컨벤션센터 앞,0,0,37.53471756,126.90000153,ST-422,2025-09-04T10:00:00.000+09:00
10,270. 증권거래소후문교차로,1,10,37.52234268,126.92710114,ST-424,2025-09-04T10:00:00.000+09:00
10,271. 샛강생태공원방문자센터 앞,0,0,37.51896286,126.92161560,ST-425,2025-09-04T10:00:00.000+09:00
20,272. 당산육갑문,1,5,37.53533936,126.90367889,ST-426,2025-09-04T10:00:00.000+09:00
10,275. 신동아아파트,25,250,37.52269745,126.88568115,ST-1320,2025-09-04T10:00:00.000+09:00
10,276. 영등포로터리2,10,100,37.51828384,126.91263580,ST-1321,2025-09-04T10:00:00.000+09:00
10,278. 쌍용플레티넘오피스텔,38,380,37.50793076,126.89523315,ST-1323,2025-09-04T10:00:00.000+09:00
15,279. 영등포 푸르지오 아파트 B,7,47,37.51322937,126.90446472,ST-1353,2025-09-04T10:00:00.000+09:00
10,280. 양평동6차현대아파트 앞,52,520,37.53210068,126.89443970,ST-1539,2025-09-04T10:00:00.000+09:00
8,281. 대림신동아아파트 앞,12,150,37.49824142,126.89398193,ST-1540,2025-09-04T10:00:00.000+09:00
10,282. 신한은행 대림동지점,17,170,37.48752975,126.90487671,ST-1541,2025-09-04T10:00:00.000+09:00
15,283. 아크로타워 스퀘어(영등포시장),40,267,37.52251816,126.90721893,ST-1649,2025-09-04T10:00:00.000+09:00
16,284. 센트럴 푸르지오 시티 앞,22,138,37.51821136,126.90222931,ST-1650,2025-09-04T10:00:00.000+09:00
9,285. 콤텍시스템 앞,14,156,37.49985886,126.89723969,ST-1651,2025-09-04T10:00:00.000+09:00
12,286. 우성아파트 교차로,16,133,37.49457169,126.89974976,ST-1652,2025-09-04T10:00:00.000+09:00
10,287. 영등포전화국사거리 (서강어린이공원),14,140,37.52576828,126.90573883,ST-1653,2025-09-04T10:00:00.000+09:00
10,288. 쌍용예가(구청별관),2,20,37.52809906,126.89338684,ST-1677,2025-09-04T10:00:00.000+09:00
10,289. 대림3동사거리,32,320,37.49980927,126.89800262,ST-1697,2025-09-04T10:00:00.000+09:00
12,290. 새말소공원,4,33,37.53150940,126.89782715,ST-1698,2025-09-04T10:00:00.000+09:00
14,291. 문래동 하이테크 시티,6,43,37.51412964,126.89939117,ST-1699,2025-09-04T10:00:00.000+09:00
